image_path,gender,articleType,baseColour
./images\53013.jpg,Women,Sarees,Multi
./images\5416.jpg,Girls,Tshirts,White
./images\28489.jpg,Men,Kurtas,Olive
./images\2738.jpg,Boys,Tshirts,White
./images\58591.jpg,Women,Necklace and Chains,Orange
./images\4364.jpg,Men,Tshirts,Grey
./images\49775.jpg,Women,Kurtas,Maroon
./images\25594.jpg,Women,Kurta Sets,White
./images\53373.jpg,Unisex,Backpacks,Black
./images\30593.jpg,Unisex,Caps,White
./images\2610.jpg,Women,Heels,Black
./images\26795.jpg,Men,Shirts,Blue
./images\23824.jpg,Men,Flip Flops,Black
./images\45440.jpg,Men,Tshirts,Blue
./images\7419.jpg,Women,Kurtas,White
./images\36720.jpg,Boys,Tshirts,Black
./images\51318.jpg,Unisex,Backpacks,Blue
./images\8205.jpg,Men,Tshirts,Navy Blue
./images\1949.jpg,Men,Tshirts,White
./images\23187.jpg,Men,Shirts,Black
./images\22706.jpg,Women,Sports Shoes,White
./images\46423.jpg,Women,Watches,White
./images\38152.jpg,Women,Tshirts,White
./images\9691.jpg,Men,Tshirts,Blue
./images\59256.jpg,Men,Watches,Black
./images\26835.jpg,Men,Trousers,Brown
./images\23142.jpg,Men,Sweatshirts,Red
./images\33841.jpg,Men,Casual Shoes,White
./images\59916.jpg,Women,Kurtas,Brown
./images\42144.jpg,Men,Sports Shoes,Black
./images\4138.jpg,Women,Casual Shoes,Black
./images\34901.jpg,Women,Dupatta,Olive
./images\46708.jpg,Men,Perfume and Body Mist,Black
./images\25842.jpg,Women,Kurtas,Multi
./images\17919.jpg,Women,Tshirts,Orange
./images\22797.jpg,Men,Shorts,Grey
./images\57698.jpg,Women,Face Moisturisers,NA
./images\10450.jpg,Men,Tshirts,Blue
./images\37155.jpg,Men,Tshirts,White
./images\50747.jpg,Men,Casual Shoes,Mushroom Brown
./images\41262.jpg,Men,Wallets,Brown
./images\9514.jpg,Men,Tshirts,Brown
./images\28695.jpg,Women,Kurtas,Beige
./images\14542.jpg,Women,Kurtas,Pink
./images\26306.jpg,Men,Tshirts,Grey
./images\49080.jpg,Women,Lipstick,Brown
./images\21055.jpg,Men,Sandals,Black
./images\37326.jpg,Women,Watches,White
./images\5905.jpg,Women,Casual Shoes,Black
./images\19633.jpg,Men,Tshirts,Grey
./images\42705.jpg,Women,Flats,Brown
./images\12930.jpg,Men,Tshirts,Navy Blue
./images\19278.jpg,Women,Watches,Silver
./images\33983.jpg,Women,Stockings,Black
./images\14303.jpg,Men,Shirts,Grey
./images\27979.jpg,Men,Briefs,White
./images\8339.jpg,Boys,Tshirts,White
./images\51857.jpg,Men,Shirts,Beige
./images\55046.jpg,Women,Lipstick,Purple
./images\22260.jpg,Women,Heels,Multi
./images\24495.jpg,Women,Kurtas,Magenta
./images\24886.jpg,Women,Tshirts,Blue
./images\10801.jpg,Men,Shirts,Blue
./images\30565.jpg,Unisex,Sunglasses,Black
./images\34260.jpg,Boys,Tshirts,Red
./images\21813.jpg,Men,Wallets,Black
./images\8166.jpg,Men,Shirts,Red
./images\57553.jpg,Women,Lipstick,Brown
./images\22156.jpg,Men,Formal Shoes,Black
./images\18752.jpg,Women,Tops,Brown
./images\51816.jpg,Women,Bra,Beige
./images\18508.jpg,Men,Socks,Black
./images\51269.jpg,Girls,Watches,Pink
./images\22098.jpg,Men,Casual Shoes,Navy Blue
./images\5971.jpg,Men,Shirts,Blue
./images\17894.jpg,Men,Innerwear Vests,Red
./images\58445.jpg,Women,Watches,White
./images\10317.jpg,Women,Watches,Silver
./images\40112.jpg,Unisex,Caps,Black
./images\51168.jpg,Men,Socks,Grey
./images\33513.jpg,Women,Heels,Black
./images\5608.jpg,Men,Sandals,Black
./images\50626.jpg,Men,Briefs,Grey
./images\40574.jpg,Women,Kurtas,White
./images\11491.jpg,Men,Watches,Black
./images\5140.jpg,Women,Tshirts,Grey
./images\26169.jpg,Men,Trousers,Black
./images\9902.jpg,Men,Jeans,Navy Blue
./images\13443.jpg,Women,Tops,White
./images\17240.jpg,Men,Tshirts,Black
./images\34007.jpg,Girls,Tops,Pink
./images\21355.jpg,Women,Sunglasses,Silver
./images\47220.jpg,Men,Formal Shoes,Brown
./images\49490.jpg,Men,Casual Shoes,Maroon
./images\17066.jpg,Women,Belts,Black
./images\26617.jpg,Men,Casual Shoes,White
./images\41435.jpg,Men,Sports Shoes,White
./images\12159.jpg,Women,Leggings,Red
./images\26489.jpg,Men,Tshirts,Black
./images\44986.jpg,Women,Watches,Silver
./images\53571.jpg,Unisex,Watches,Blue
./images\14738.jpg,Men,Shirts,Grey
./images\42923.jpg,Women,Wallets,Black
./images\12364.jpg,Men,Shirts,Blue
./images\50000.jpg,Women,Bra,Black
./images\58640.jpg,Men,Socks,White
./images\57774.jpg,Women,Mask and Peel,White
./images\3778.jpg,Men,Tshirts,Green
./images\35523.jpg,Girls,Sandals,Purple
./images\6527.jpg,Men,Shorts,White
./images\32264.jpg,Women,Bra,Black
./images\58869.jpg,Men,Cufflinks,Blue
./images\17402.jpg,Men,Socks,Multi
./images\12006.jpg,Men,Shirts,Green
./images\43181.jpg,Men,Watches,Steel
./images\50150.jpg,Women,Heels,Gold
./images\49760.jpg,Women,Leggings,Green
./images\3605.jpg,Unisex,Casual Shoes,Red
./images\23939.jpg,Men,Sports Shoes,White
./images\15840.jpg,Women,Kurtas,Yellow
./images\34293.jpg,Women,Dupatta,Orange
./images\51626.jpg,Women,Watches,White
./images\20637.jpg,Women,Dresses,Grey
./images\15899.jpg,Unisex,Casual Shoes,Orange
./images\22400.jpg,Men,Shirts,Blue
./images\55383.jpg,Women,Nail Polish,Metallic
./images\51958.jpg,Women,Handbags,Brown
./images\38148.jpg,Unisex,Backpacks,Black
./images\22390.jpg,Men,Shirts,Purple
./images\41252.jpg,Men,Belts,Black
./images\9682.jpg,Men,Tshirts,Green
./images\15586.jpg,Men,Sweatshirts,Green
./images\39032.jpg,Men,Cufflinks,Steel
./images\33738.jpg,Women,Belts,Brown
./images\30772.jpg,Men,Kurtas,Mustard
./images\24113.jpg,Men,Flip Flops,Green
./images\47224.jpg,Men,Sandals,Brown
./images\49406.jpg,Men,Casual Shoes,Black
./images\22820.jpg,Men,Casual Shoes,Khaki
./images\13058.jpg,Women,Watches,Black
./images\33124.jpg,Women,Heels,Black
./images\4748.jpg,Men,Tshirts,Green
./images\7770.jpg,Unisex,Socks,Beige
./images\38054.jpg,Men,Watches,Black
./images\52946.jpg,Women,Sarees,Magenta
./images\5426.jpg,Boys,Tshirts,Black
./images\24692.jpg,Men,Jeans,Black
./images\56241.jpg,Men,Night suits,Navy Blue
./images\27415.jpg,Women,Capris,Black
./images\32183.jpg,Men,Flip Flops,Black
./images\31724.jpg,Women,Pendant,Silver
./images\15024.jpg,Men,Caps,Blue
./images\9245.jpg,Men,Shirts,Blue
./images\56681.jpg,Men,Watches,Black
./images\58313.jpg,Men,Socks,White
./images\56724.jpg,Men,Flip Flops,Grey
./images\17451.jpg,Women,Watches,Steel
./images\25483.jpg,Unisex,Flip Flops,Orange
./images\13718.jpg,Men,Mufflers,Blue
./images\43176.jpg,Men,Watches,Black
./images\25675.jpg,Women,Watches,Steel
./images\15848.jpg,Unisex,Sandals,Orange
./images\19832.jpg,Men,Shirts,Brown
./images\19173.jpg,Men,Shirts,Blue
./images\54739.jpg,Men,Casual Shoes,Grey
./images\6724.jpg,Men,Tshirts,Navy Blue
./images\46596.jpg,Women,Heels,Brown
./images\45189.jpg,Women,Watches,Black
./images\40171.jpg,Men,Sunglasses,Black
./images\5759.jpg,Women,Tops,Black
./images\32415.jpg,Men,Tshirts,White
./images\30717.jpg,Boys,Kurta Sets,Green
./images\18385.jpg,Men,Briefs,Red
./images\56265.jpg,Men,Night suits,Red
./images\37744.jpg,Men,Shirts,Blue
./images\4585.jpg,Unisex,Backpacks,Black
./images\23114.jpg,Men,Accessory Gift Set,Black
./images\26411.jpg,Men,Shirts,Red
./images\54588.jpg,Women,Kurtas,Green
./images\31142.jpg,Men,Shirts,Orange
./images\37286.jpg,Women,Tshirts,Brown
./images\13057.jpg,Women,Watches,White
./images\53008.jpg,Women,Sarees,Multi
./images\10622.jpg,Women,Flip Flops,Green
./images\34201.jpg,Men,Track Pants,Grey Melange
./images\12188.jpg,Men,Shirts,Blue
./images\21729.jpg,Women,Flip Flops,Orange
./images\17709.jpg,Unisex,Casual Shoes,Olive
./images\4328.jpg,Unisex,Tshirts,Red
./images\15028.jpg,Women,Sweatshirts,Navy Blue
./images\41301.jpg,Girls,Tshirts,Pink
./images\12492.jpg,Men,Shirts,Blue
./images\20780.jpg,Women,Heels,Silver
./images\30732.jpg,Women,Churidar,Black
./images\58202.jpg,Men,Belts,Black
./images\46107.jpg,Men,Flip Flops,Red
./images\28393.jpg,Women,Sunglasses,Brown
./images\7134.jpg,Men,Track Pants,Navy Blue
./images\9168.jpg,Men,Jeans,Blue
./images\11418.jpg,Men,Tshirts,Black
./images\37495.jpg,Men,Watches,Silver
./images\52089.jpg,Women,Tshirts,Black
./images\8484.jpg,Women,Dresses,Purple
./images\34397.jpg,Men,Tshirts,Black
./images\13933.jpg,Women,Tshirts,Blue
./images\14817.jpg,Women,Handbags,Brown
./images\13361.jpg,Women,Casual Shoes,Tan
./images\9435.jpg,Unisex,Caps,Black
./images\20343.jpg,Men,Tshirts,Black
./images\37230.jpg,Men,Belts,Red
./images\55334.jpg,Women,Hair Colour,Brown
./images\16513.jpg,Men,Jeans,Blue
./images\14881.jpg,Women,Handbags,Black
./images\13646.jpg,Men,Casual Shoes,Beige
./images\39892.jpg,Men,Casual Shoes,Brown
./images\34785.jpg,Men,Sports Sandals,Grey
./images\10050.jpg,Men,Tshirts,Black
./images\27886.jpg,Women,Shirts,Pink
./images\20891.jpg,Men,Casual Shoes,Green
./images\17736.jpg,Unisex,Flip Flops,Black
./images\58463.jpg,Men,Belts,Black
./images\54382.jpg,Women,Handbags,Olive
./images\43422.jpg,Men,Jeans,Blue
./images\41785.jpg,Women,Tops,Purple
./images\45786.jpg,Women,Flats,Maroon
./images\13679.jpg,Men,Sports Shoes,White
./images\45132.jpg,Men,Watches,White
./images\38143.jpg,Unisex,Handbags,Black
./images\52523.jpg,Women,Jeans,Blue
./images\26824.jpg,Men,Trousers,Brown
./images\14148.jpg,Men,Cufflinks,Steel
./images\6681.jpg,Women,Sports Shoes,White
./images\11949.jpg,Men,Casual Shoes,Brown
./images\18680.jpg,Men,Trunk,Grey
./images\49362.jpg,Men,Casual Shoes,Black
./images\49837.jpg,Women,Flip Flops,Blue
./images\38311.jpg,Men,Sunglasses,Steel
./images\37876.jpg,Men,Wallets,Brown
./images\22305.jpg,Women,Heels,White
./images\4113.jpg,Men,Casual Shoes,White
./images\56872.jpg,Women,Heels,Red
./images\42696.jpg,Women,Flats,Silver
./images\58335.jpg,Men,Flip Flops,Grey
./images\29171.jpg,Girls,Skirts,Blue
./images\35260.jpg,Women,Tops,Blue
./images\15957.jpg,Men,Ties,Maroon
./images\33044.jpg,Women,Kurtas,Blue
./images\58037.jpg,Women,Earrings,Silver
./images\34495.jpg,Women,Skirts,Grey
./images\2159.jpg,Men,Tshirts,Green
./images\20603.jpg,Women,Handbags,Black
./images\9059.jpg,Men,Sports Shoes,White
./images\15242.jpg,Men,Casual Shoes,Black
./images\4256.jpg,Men,Tshirts,Grey Melange
./images\33393.jpg,Women,Handbags,Brown
./images\46766.jpg,Women,Perfume and Body Mist,Red
./images\17653.jpg,Unisex,Flip Flops,Blue
./images\39467.jpg,Women,Kurtis,White
./images\51504.jpg,Women,Jeans,Blue
./images\31340.jpg,Men,Jeans,Blue
./images\29875.jpg,Men,Sunglasses,Black
./images\31299.jpg,Men,Tshirts,White
./images\23141.jpg,Men,Sweatshirts,Navy Blue
./images\55897.jpg,Women,Nail Polish,Orange
./images\21818.jpg,Men,Wallets,Brown
./images\23240.jpg,Women,Kurtas,Blue
./images\28349.jpg,Men,Sunglasses,Brown
./images\32037.jpg,Men,Socks,White
./images\38171.jpg,Women,Sunglasses,Brown
./images\34323.jpg,Men,Tshirts,Red
./images\6447.jpg,Women,Flip Flops,Black
./images\7410.jpg,Women,Kurtas,Red
./images\18589.jpg,Unisex,Socks,Black
./images\45370.jpg,Women,Heels,Brown
./images\17372.jpg,Men,Accessory Gift Set,Maroon
./images\47229.jpg,Men,Sandals,Black
./images\49945.jpg,Men,Lounge Shorts,Red
./images\5213.jpg,Men,Tshirts,Black
./images\43927.jpg,Women,Heels,Gold
./images\20852.jpg,Women,Handbags,Yellow
./images\44691.jpg,Women,Tops,Yellow
./images\19034.jpg,Women,Heels,Blue
./images\7417.jpg,Women,Kurtas,Blue
./images\15191.jpg,Men,Tshirts,Purple
./images\57572.jpg,Women,Lipstick,Coffee Brown
./images\34517.jpg,Women,Flip Flops,Green
./images\38683.jpg,Women,Clutches,Navy Blue
./images\5933.jpg,Men,Casual Shoes,White
./images\18295.jpg,Women,Kurtas,Maroon
./images\7092.jpg,Unisex,Backpacks,Blue
./images\11367.jpg,Women,Tops,Purple
./images\13804.jpg,Men,Mufflers,Grey
./images\56534.jpg,Women,Lipstick,Brown
./images\9714.jpg,Men,Tshirts,Black
./images\22409.jpg,Men,Trousers,Navy Blue
./images\20052.jpg,Women,Mufflers,Yellow
./images\16757.jpg,Women,Clutches,Black
./images\47336.jpg,Women,Handbags,Green
./images\34298.jpg,Women,Dupatta,Khaki
./images\55582.jpg,Women,Highlighter and Blush,Peach
./images\53054.jpg,Women,Sarees,Yellow
./images\41789.jpg,Women,Tops,Black
./images\3946.jpg,Women,Tshirts,White
./images\56403.jpg,Women,Flats,Black
./images\36093.jpg,Men,Wallets,Brown
./images\57909.jpg,Women,Socks,Black
./images\10759.jpg,Unisex,Flip Flops,Pink
./images\19369.jpg,Men,Casual Shoes,Blue
./images\17799.jpg,Men,Tshirts,Orange
./images\53868.jpg,Women,Heels,Brown
./images\22500.jpg,Women,Casual Shoes,Blue
./images\48456.jpg,Men,Tshirts,White
./images\20814.jpg,Men,Casual Shoes,White
./images\46489.jpg,Men,Watches,Blue
./images\52392.jpg,Women,Nightdress,Peach
./images\39677.jpg,Men,Casual Shoes,White
./images\7131.jpg,Men,Track Pants,Black
./images\13220.jpg,Men,Tshirts,Blue
./images\41152.jpg,Women,Skirts,Grey
./images\53659.jpg,Women,Handbags,Grey
./images\38631.jpg,Women,Tshirts,Pink
./images\50953.jpg,Women,Jeans,Blue
./images\5978.jpg,Men,Shirts,Blue
./images\59710.jpg,Women,Briefs,Orange
./images\8260.jpg,Women,Handbags,White
./images\31048.jpg,Men,Shirts,Blue
./images\9403.jpg,Women,Sports Shoes,White
./images\57301.jpg,Women,Heels,Brown
./images\16886.jpg,Men,Sunglasses,Brown
./images\41517.jpg,Men,Sunglasses,Grey
./images\30670.jpg,Men,Sunglasses,Black
./images\36473.jpg,Women,Kurtas,Pink
./images\16056.jpg,Men,Trousers,Beige
./images\56324.jpg,Women,Watches,White
./images\35185.jpg,Unisex,Backpacks,Olive
./images\7002.jpg,Women,Tops,Purple
./images\9692.jpg,Men,Tshirts,Navy Blue
./images\8600.jpg,Men,Tshirts,Purple
./images\7842.jpg,Women,Sports Shoes,Black
./images\43486.jpg,Men,Shirts,Grey
./images\34390.jpg,Men,Tshirts,Red
./images\26664.jpg,Men,Casual Shoes,Black
./images\28161.jpg,Men,Sunglasses,Copper
./images\59145.jpg,Women,Heels,Brown
./images\53669.jpg,Women,Handbags,Black
./images\14558.jpg,Men,Casual Shoes,Navy Blue
./images\11651.jpg,Men,Watches,Black
./images\20254.jpg,Men,Tshirts,Rust
./images\10319.jpg,Women,Watches,Steel
./images\49784.jpg,Women,Night suits,White
./images\26697.jpg,Men,Casual Shoes,White
./images\13841.jpg,Unisex,Watches,White
./images\38606.jpg,Men,Tshirts,White
./images\13236.jpg,Men,Shorts,Blue
./images\36750.jpg,Girls,Dresses,Navy Blue
./images\6163.jpg,Men,Flip Flops,White
./images\14866.jpg,Men,Wallets,Green
./images\35416.jpg,Men,Formal Shoes,Black
./images\15487.jpg,Women,Flats,Grey
./images\5384.jpg,Men,Sports Shoes,Beige
./images\24050.jpg,Men,Tshirts,Blue
./images\26340.jpg,Women,Watches,White
./images\2394.jpg,Men,Casual Shoes,Black
./images\21887.jpg,Women,Kurtas,Magenta
./images\15929.jpg,Unisex,Backpacks,Black
./images\5972.jpg,Men,Shirts,Red
./images\2303.jpg,Women,Tshirts,Pink
./images\41992.jpg,Boys,Shorts,Black
./images\2224.jpg,Men,Sandals,Green
./images\50017.jpg,Men,Innerwear Vests,White
./images\14890.jpg,Women,Travel Accessory,Purple
./images\44923.jpg,Men,Jeans,Blue
./images\51505.jpg,Women,Jeans,Blue
./images\20234.jpg,Women,Tshirts,Blue
./images\52835.jpg,Women,Earrings,Red
./images\19549.jpg,Men,Sweatshirts,Grey
./images\16182.jpg,Men,Formal Shoes,Tan
./images\2500.jpg,Men,Casual Shoes,Navy Blue
./images\14499.jpg,Men,Casual Shoes,Green
./images\19300.jpg,Women,Watches,Steel
./images\6787.jpg,Men,Tshirts,Brown
./images\4229.jpg,Men,Tshirts,Maroon
./images\4731.jpg,Men,Flip Flops,Black
./images\2556.jpg,Men,Tshirts,Black
./images\4292.jpg,Men,Tshirts,Black
./images\20416.jpg,Women,Belts,Red
./images\8593.jpg,Men,Tshirts,Black
./images\6378.jpg,Men,Sports Shoes,Black
./images\53115.jpg,Men,Tshirts,Red
./images\21521.jpg,Women,Handbags,Pink
./images\18166.jpg,Girls,Dresses,Magenta
./images\43336.jpg,Men,Sports Shoes,White
./images\12488.jpg,Men,Sandals,Black
./images\33830.jpg,Men,Casual Shoes,White
./images\48104.jpg,Women,Tops,White
./images\44083.jpg,Men,Perfume and Body Mist,Blue
./images\23929.jpg,Men,Sports Shoes,Silver
./images\22063.jpg,Women,Kurtas,White
./images\50712.jpg,Men,Trunk,Red
./images\19657.jpg,Men,Tshirts,Blue
./images\2858.jpg,Men,Tshirts,Grey
./images\25421.jpg,Men,Sports Shoes,Black
./images\7064.jpg,Unisex,Backpacks,Grey
./images\54518.jpg,Men,Sports Shoes,White
./images\37279.jpg,Women,Tshirts,Pink
./images\50388.jpg,Women,Watches,White
./images\57388.jpg,Women,Briefs,White
./images\49165.jpg,Women,Kajal and Eyeliner,Olive
./images\6419.jpg,Men,Flip Flops,Black
./images\12178.jpg,Men,Shirts,Blue
./images\38212.jpg,Men,Sunglasses,Steel
./images\46086.jpg,Women,Sports Shoes,Lavender
./images\4303.jpg,Unisex,Tshirts,Green
./images\12418.jpg,Men,Wallets,Black
./images\30867.jpg,Women,Kurtas,Blue
./images\14038.jpg,Men,Shirts,Red
./images\43524.jpg,Women,Leggings,Black
./images\37957.jpg,Men,Casual Shoes,Brown
./images\10635.jpg,Men,Casual Shoes,Black
./images\51163.jpg,Men,Socks,Beige
./images\2195.jpg,Women,Capris,Black
./images\6997.jpg,Men,Tshirts,White
./images\18198.jpg,Men,Trousers,Blue
./images\24924.jpg,Women,Tops,Blue
./images\29080.jpg,Men,Belts,Black
./images\41738.jpg,Women,Heels,Brown
./images\21570.jpg,Men,Casual Shoes,White
./images\26007.jpg,Men,Deodorant,Silver
./images\35652.jpg,Men,Formal Shoes,Black
./images\44226.jpg,Men,Tshirts,Navy Blue
./images\56440.jpg,Women,Nail Polish,Maroon
./images\54708.jpg,Women,Kurtas,Multi
./images\29165.jpg,Women,Tops,Black
./images\26113.jpg,Men,Shirts,Purple
./images\46945.jpg,Women,Perfume and Body Mist,Black
./images\18950.jpg,Women,Socks,White
./images\12102.jpg,Women,Kurtas,Purple
./images\35018.jpg,Women,Stoles,Navy Blue
./images\24652.jpg,Women,Handbags,Off White
./images\43624.jpg,Women,Tops,White
./images\30922.jpg,Women,Skirts,Rust
./images\3378.jpg,Men,Casual Shoes,Silver
./images\25693.jpg,Women,Kurtis,Magenta
./images\21162.jpg,Women,Sweaters,Pink
./images\14414.jpg,Women,Heels,Silver
./images\42563.jpg,Women,Kurtis,Brown
./images\57877.jpg,Women,Lip Care,Green
./images\44196.jpg,Women,Flip Flops,Pink
./images\6087.jpg,Women,Tops,White
./images\55536.jpg,Women,Eyeshadow,Multi
./images\29023.jpg,Men,Track Pants,Black
./images\12052.jpg,Men,Tshirts,White
./images\7638.jpg,Men,Belts,Brown
./images\39451.jpg,Women,Kurtas,Brown
./images\22010.jpg,Women,Handbags,Black
./images\34513.jpg,Men,Flip Flops,Black
./images\48068.jpg,Men,Tshirts,Grey Melange
./images\35186.jpg,Unisex,Backpacks,Grey
./images\25087.jpg,Men,Wallets,Brown
./images\31448.jpg,Boys,Shorts,Blue
./images\49160.jpg,Women,Foundation and Primer,Skin
./images\20202.jpg,Men,Sweatshirts,Grey
./images\7278.jpg,Men,Tshirts,Brown
./images\49598.jpg,Women,Heels,Grey
./images\32428.jpg,Men,Tshirts,Red
./images\35467.jpg,Women,Heels,Gold
./images\28039.jpg,Men,Briefs,Red
./images\33084.jpg,Men,Tshirts,Navy Blue
./images\11283.jpg,Men,Jeans,Blue
./images\51165.jpg,Men,Socks,Navy Blue
./images\31005.jpg,Women,Perfume and Body Mist,Pink
./images\57056.jpg,Women,Dresses,Cream
./images\36804.jpg,Men,Watches,White
./images\41850.jpg,Men,Socks,Black
./images\19440.jpg,Men,Caps,Red
./images\40952.jpg,Boys,Tshirts,Red
./images\32534.jpg,Men,Fragrance Gift Set,Black
./images\22800.jpg,Men,Shirts,Blue
./images\29862.jpg,Men,Sunglasses,Black
./images\26548.jpg,Men,Casual Shoes,Blue
./images\13476.jpg,Women,Flats,Tan
./images\55222.jpg,Women,Lip Liner,Brown
./images\34482.jpg,Women,Tops,Pink
./images\44868.jpg,Men,Tshirts,Black
./images\24413.jpg,Men,Sports Shoes,White
./images\53057.jpg,Women,Sarees,Multi
./images\6440.jpg,Men,Casual Shoes,Black
./images\13886.jpg,Men,Shirts,Black
./images\57999.jpg,Women,Dresses,Brown
./images\42078.jpg,Men,Wallets,Brown
./images\19211.jpg,Men,Belts,Brown
./images\17636.jpg,Unisex,Scarves,Purple
./images\13086.jpg,Unisex,Casual Shoes,Gold
./images\36936.jpg,Men,Perfume and Body Mist,Red
./images\10078.jpg,Men,Sports Shoes,White
./images\4514.jpg,Men,Sports Shoes,White
./images\18706.jpg,Men,Briefs,White
./images\6765.jpg,Men,Tshirts,White
./images\54156.jpg,Women,Necklace and Chains,Gold
./images\58634.jpg,Men,Socks,White
./images\35462.jpg,Men,Casual Shoes,Brown
./images\55288.jpg,Women,Highlighter and Blush,Skin
./images\28112.jpg,Men,Trunk,Black
./images\16035.jpg,Men,Shirts,White
./images\41309.jpg,Girls,Tops,Peach
./images\3057.jpg,Men,Tshirts,Green
./images\42541.jpg,Women,Kurtas,Blue
./images\44522.jpg,Men,Sandals,White
./images\16435.jpg,Men,Tshirts,Olive
./images\43350.jpg,Men,Sports Shoes,Black
./images\27548.jpg,Men,Shirts,White
./images\35685.jpg,Men,Casual Shoes,Navy Blue
./images\4253.jpg,Men,Tshirts,Brown
./images\31654.jpg,Men,Shirts,Black
./images\31249.jpg,Men,Tshirts,Grey
./images\56959.jpg,Women,Heels,Red
./images\14329.jpg,Men,Sports Shoes,Black
./images\16999.jpg,Women,Flats,Blue
./images\1938.jpg,Men,Tshirts,Blue
./images\8654.jpg,Women,Sunglasses,Brown
./images\50842.jpg,Women,Dupatta,Lavender
./images\3477.jpg,Men,Tshirts,Black
./images\48833.jpg,Women,Pendant,Silver
./images\19702.jpg,Men,Shirts,Blue
./images\17043.jpg,Men,Casual Shoes,Black
./images\31239.jpg,Men,Tshirts,Red
./images\45286.jpg,Men,Watches,Black
./images\5465.jpg,Men,Sports Shoes,White
./images\55113.jpg,Women,Compact,Beige
./images\38559.jpg,Men,Tshirts,Purple
./images\56663.jpg,Men,Casual Shoes,Brown
./images\58087.jpg,Women,Earrings,Silver
./images\13254.jpg,Men,Tshirts,Navy Blue
./images\11954.jpg,Men,Casual Shoes,Black
./images\3529.jpg,Men,Tshirts,Navy Blue
./images\33593.jpg,Men,Tshirts,White
./images\49896.jpg,Girls,Watches,White
./images\17797.jpg,Men,Tshirts,Blue
./images\19037.jpg,Women,Heels,Black
./images\19097.jpg,Women,Kurtas,Red
./images\33344.jpg,Men,Formal Shoes,Black
./images\28942.jpg,Women,Kurtas,Yellow
./images\15211.jpg,Men,Tshirts,Navy Blue
./images\28189.jpg,Men,Sunglasses,Steel
./images\26600.jpg,Women,Sports Shoes,Black
./images\22130.jpg,Men,Formal Shoes,Black
./images\17302.jpg,Men,Socks,Black
./images\6961.jpg,Men,Sports Shoes,White
./images\30150.jpg,Men,Belts,Brown
./images\20068.jpg,Men,Mufflers,Green
./images\53841.jpg,Women,Kurtas,Red
./images\13947.jpg,Women,Tshirts,Blue
./images\55804.jpg,Women,Night suits,Multi
./images\19457.jpg,Men,Tshirts,Black
./images\44039.jpg,Men,Deodorant,Silver
./images\44005.jpg,Men,Perfume and Body Mist,Blue
./images\16534.jpg,Women,Tops,Pink
./images\58678.jpg,Women,Kurtas,White
./images\9197.jpg,Women,Sports Shoes,White
./images\25637.jpg,Women,Watches,Silver
./images\25050.jpg,Men,Accessory Gift Set,Brown
./images\32768.jpg,Men,Tshirts,Grey
./images\58546.jpg,Women,Sunglasses,Brown
./images\21395.jpg,Men,Tshirts,Navy Blue
./images\58661.jpg,Women,Kurtas,Green
./images\10810.jpg,Men,Shirts,Blue
./images\12160.jpg,Women,Leggings,Yellow
./images\21113.jpg,Women,Tops,Blue
./images\39927.jpg,Unisex,Tablet Sleeve,Blue
./images\24382.jpg,Women,Kurtas,Maroon
./images\50337.jpg,Women,Kurtis,Blue
./images\4929.jpg,Women,Skirts,Blue
./images\13151.jpg,Men,Tshirts,Blue
./images\17363.jpg,Men,Accessory Gift Set,Maroon
./images\44520.jpg,Men,Sandals,Khaki
./images\30050.jpg,Men,Watches,Copper
./images\17441.jpg,Men,Watches,Steel
./images\14287.jpg,Men,Shirts,White
./images\49946.jpg,Men,Lounge Shorts,Navy Blue
./images\13847.jpg,Women,Tops,White
./images\5507.jpg,Women,Tshirts,Black
./images\55048.jpg,Women,Lipstick,Purple
./images\51949.jpg,Men,Laptop Bag,Brown
./images\44157.jpg,Women,Fragrance Gift Set,Pink
./images\14282.jpg,Women,Sports Shoes,Brown
./images\3370.jpg,Women,Sports Shoes,Grey
./images\40156.jpg,Girls,Tops,Green
./images\1572.jpg,Men,Track Pants,Black
./images\32619.jpg,Men,Tshirts,Black
./images\27450.jpg,Women,Bra,Black
./images\27219.jpg,Women,Dresses,Lavender
./images\47180.jpg,Men,Casual Shoes,Black
./images\18812.jpg,Men,Belts,Olive
./images\29028.jpg,Men,Tshirts,Red
./images\39462.jpg,Women,Kurtas,Brown
./images\59470.jpg,Women,Ring,Gold
./images\4923.jpg,Women,Tops,White
./images\27746.jpg,Women,Handbags,Black
./images\13357.jpg,Men,Casual Shoes,Black
./images\52357.jpg,Women,Nightdress,Yellow
./images\9335.jpg,Women,Tshirts,Grey
./images\30912.jpg,Women,Kurtis,Blue
./images\13410.jpg,Men,Shirts,Blue
./images\15364.jpg,Men,Sandals,Brown
./images\5606.jpg,Men,Sandals,Black
./images\52204.jpg,Women,Pendant,Silver
./images\13018.jpg,Women,Heels,Black
./images\6390.jpg,Women,Flats,Beige
./images\15816.jpg,Men,Briefs,Maroon
./images\14395.jpg,Women,Heels,Pink
./images\8222.jpg,Men,Backpacks,Red
./images\46244.jpg,Women,Tunics,Black
./images\7142.jpg,Women,Shirts,Purple
./images\44660.jpg,Men,Casual Shoes,Black
./images\48795.jpg,Women,Pendant,Silver
./images\52085.jpg,Women,Tshirts,Orange
./images\28497.jpg,Men,Shorts,Grey
